State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768,186740,545913,5261,35036,565165,155133,720298,269487,421399,338668,396396,223365,141850,13382,212631,10088,46837,102049,23277,385123,9899,308270,428744,20344,2539567,100.0,104.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,226045,9071,40847,105940,25076,451056,10365,468022,494689,18557,3390397,100.0,98.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,180824,5264,19494,64087,18802,294830,6316,297418,332230,18598,2695390,100.0,101.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,953215,204747,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,168297,5002,28633,61858,13208,236327,7516,278230,265587,16052,2334897,100.0,102.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710,237349,828077,12952,59006,758738,288249,1046987,314252,457529,454322,430242,279234,248942,27663,311837,15727,71400,139404,34782,508632,22196,462819,568508,25094,3504866,100.0,100.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,605463,14687,70135,182698,56671,478091,19128,648607,578252,43490,3930739,100.0,100.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,50765,12201,85260,39732,4208,496,18530,47683,2134,35969,94,50381,95,11738,132,4762,14593,170,1486,33422,6498,39920,20425,22537,17354,10032,5641,3633,834,13306,1102,6639,2450,434,9224,499,9314,10621,963,148094,0.0,93.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,27123,4587,46980,21835,1063,273,8539,12333,652,37136,36,452,23,27868,190,3583,5318,57,885,14503,5215,19718,11713,10487,8852,6213,4510,2330,142,755,577,2116,1382,262,3378,203,3169,4178,538,78500,0.0,103.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,33578,6644,58992,20185,3565,493,15979,27854,2289,18254,69,776,30,49393,549,4866,14231,450,1582,19497,9524,29021,9938,13713,13968,10937,9498,6540,525,6380,2072,7467,4568,943,10557,930,9363,12744,1244,98665,100.0,98.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,24372,13672,54032,27417,2947,833,6847,4859,471,51189,43,121,81,34158,1154,586,3911,95,969,18603,1092,19695,12661,15054,12264,6997,4353,2031,299,189,605,3167,884,156,2988,106,1320,3318,174,90922,0.0,103.0
