State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Gujarat,Patan,23.80634198473284,71.75162977099237,1343734,494631,343282,123408,64190,59218,13303,6835,6468,554830,383074,171756,446240,108590,788904,136590,227080,6392,184768,1194745,142797,916,337,66,3602,66,1205,66310,223424,2231,12870,301483,102655,404138,168990,364667,78731,129584,57494,46355,11111,66270,7802,22405,41235,7733,158057,5271,108006,176829,11039,1342529,100.0,94.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,585449,221621,172057,51830,26607,25223,13039,6730,6309,231169,174118,57051,195437,35732,354280,65702,48964,2371,114132,549749,33565,500,248,91,515,38,743,41686,117040,1653,5639,96015,87557,183572,50588,150643,71637,63458,25119,22458,5260,40784,4395,17522,45156,4008,81985,3545,80820,92715,6722,584706,100.0,95.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3804558,1514075,1210981,290169,149782,140387,24017,12504,11513,1479050,1159480,319570,1324783,154267,2325508,349357,214285,23780,891628,3397406,361388,5478,1918,1170,33591,269,3338,362140,747352,21785,67370,459474,721532,1181006,383780,913928,402240,540278,204306,266295,29924,355586,55289,211531,428744,30503,558748,52563,571843,651936,62685,3801220,100.0,93.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2428589,918625,660109,187685,96527,91158,542156,272531,269625,1084878,681435,403443,795096,289782,1343711,366711,333867,10909,373391,2260560,148563,6375,614,168,11110,52,1147,99037,438606,5262,25425,544024,121509,665533,214062,597667,211423,333650,198963,110817,24745,112045,22379,36688,122399,15518,216346,12807,180909,269423,37559,2427442,100.0,95.0
Gujarat,Surat,21.25761372772093,72.93488716344339,6081322,2687468,1883942,158115,82202,75913,856952,432089,424863,2553542,2142819,410723,2405288,148254,3527780,109549,325739,42040,2076214,5260193,660772,21052,5703,12902,112835,3920,3945,815423,1252452,55694,149331,369840,1529998,1899838,566242,1332690,807021,896927,433651,379505,79862,397563,106983,395329,530528,39959,855336,112976,788447,995637,100342,6077377,100.0,79.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1756268,643221,450405,179461,93427,86034,21453,11068,10385,723500,504038,219462,586364,137136,1032768,185235,270861,9518,257886,1620282,109681,1419,512,312,22992,128,942,77857,302068,2975,15309,340788,159810,500598,234873,482679,165406,172947,61164,58389,14501,135074,10088,43874,99436,6932,228637,8028,177591,246026,10457,1755326,100.0,93.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,228291,77314,63654,992,490,502,216073,107539,108534,118257,61329,56928,88038,30219,110034,64561,40486,1172,12038,203545,3593,20029,69,32,39,560,424,2029,29794,137,1393,52102,7516,59618,43639,59954,17736,14872,7560,3490,2215,6914,991,8955,5662,784,9243,271,9262,11148,1121,227867,100.0,101.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,4165626,1614087,1278993,221629,114602,107027,1149901,586665,563236,1693473,1233312,460161,1360660,332813,2472153,312126,570361,17680,793306,3713941,384579,23813,9340,2069,27650,1124,3110,411734,798277,53606,117818,547454,692971,1240425,396624,865726,457662,504732,268451,314960,60177,399901,72630,264896,351423,37602,462473,95845,497049,583926,83851,4162516,100.0,93.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,1705678,655528,515129,38237,19557,18680,902794,450976,451818,743245,516188,227057,577327,165918,962433,147569,183025,11833,400818,1571147,94034,19661,1589,913,13809,1417,3108,137209,329218,11020,31285,262410,235981,498391,165459,303197,171712,212318,123281,90912,26987,119338,23938,52199,128491,10408,209929,21685,188248,242422,22085,1702570,100.0,92.0
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,461288,356737,296246,156874,139372,0,0,0,372139,320120,52019,319475,52664,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868,121622,199681,12899,32767,175365,139891,315256,89558,170110,161844,163544,97980,91472,18727,133676,26122,32571,92424,15833,124292,23884,172034,170149,30024,1124482,100.0,88.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,357047,99235,456282,186145,223049,198307,218631,148995,104875,13786,99232,16793,58375,66069,10057,221159,11346,176336,242718,11502,1631116,100.0,89.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559,258422,333171,43437,82673,87700,382981,470681,137902,220384,198551,282666,178846,259933,27864,170927,63470,67341,152884,20485,240316,64331,279652,302937,42136,1800174,100.0,87.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,203020,55360,258380,103541,136663,99948,93526,61476,37741,9504,86268,14030,29817,52633,4347,120937,7830,107042,136196,10912,941441,100.0,90.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,141703,381988,523691,126920,177453,175370,219200,150120,233402,41366,103261,92934,83772,131478,19984,201135,86768,248024,274931,53812,1513114,100.0,85.0
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,302013,154113,456126,197303,230074,194595,202792,144626,105346,19031,147721,24642,65713,90721,11379,231246,21142,202588,259276,16651,1740913,100.0,87.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,399480,276611,170448,90856,79592,0,0,0,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,211816,78328,290144,90737,109829,115794,145258,97457,58826,9387,69952,14298,40791,52868,11057,123227,9674,128007,145032,10748,956488,100.0,86.0
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,502049,330709,282351,150940,131411,0,0,0,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,278335,89665,368000,136892,185626,151682,154773,107994,64599,14277,113068,15836,40480,61694,11087,168445,10485,160742,193577,14045,1332499,100.0,87.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,385782,260747,247513,131486,116027,0,0,0,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,231091,75696,306787,119345,158239,124682,117753,82297,51043,9111,95704,12792,36696,59238,6044,138662,8124,140195,153352,8646,1072765,100.0,88.0
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,564516,413497,339604,179681,159923,0,0,0,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,292682,135920,428602,155839,231354,188040,183590,124790,101387,19186,143754,26238,39322,108101,9579,188467,20819,215813,215865,17819,1503005,100.0,89.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,370828,276065,215128,113311,101817,0,0,0,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,203553,88268,291821,94530,145392,118107,120790,81964,71007,10999,107683,20261,30979,73765,8235,119559,15839,143316,145855,18061,964178,100.0,89.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,380440,249815,156314,82420,73894,0,0,0,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,223726,44216,267942,94273,135849,126291,132765,94245,60296,10353,54810,8538,25809,45775,5274,119066,5827,88012,133653,9313,921683,100.0,89.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,229862,175456,101830,53868,47962,0,0,0,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,70895,93656,164551,45607,73584,60177,69163,48306,83256,8466,42737,29497,27618,49972,7872,60941,27786,88378,92486,23673,560411,100.0,87.0
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,464136,322463,206213,109695,96518,0,0,0,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,173502,153804,327306,118873,170565,143466,141473,91756,75774,10977,90548,17466,26625,74923,8489,150926,17705,162321,172677,13262,1202918,100.0,86.0
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,375453,261494,182606,95571,87035,0,0,0,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,199449,69305,268754,81280,120860,122617,139646,95807,65143,9820,71366,12161,28534,58897,8629,113600,10676,108753,137152,14923,899090,100.0,90.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,436025,311557,216889,115573,101316,0,0,0,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,175203,131739,306942,117097,150903,140782,168499,109596,100346,21134,91682,16545,39834,63575,9432,137267,17402,150160,160621,13922,1060435,100.0,87.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,456968,325929,387381,202430,184951,0,0,0,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,245476,93316,338792,141766,201349,153263,134559,83373,61620,16698,117760,24468,45101,75692,7898,165463,13695,150315,190983,17622,1294177,100.0,90.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,186064,137778,111690,56154,55536,135500,67900,67600,294035,158791,135244,119632,174403,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,186395,13836,200231,56272,96789,67653,64515,40440,15506,3252,1657,5074,25935,8880,2362,64850,2391,62233,73995,6783,518352,100.0,99.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,72114,91184,64363,35620,5263,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,454354,100.0,110.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,211029,103334,59914,59612,4094,99240,3791,54513,24522,4934,130019,1757,48564,137792,2839,1102681,100.0,86.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,454768,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,72114,91184,64363,35620,5263,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,454354,100.0,110.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,1104285,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,211029,103334,59914,59612,4094,99240,3791,54513,24522,4934,130019,1757,48564,137792,2839,1102681,100.0,86.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,606443,546197,319385,159697,159688,84564,41745,42819,675170,403756,271414,313915,361255,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,588321,39007,627328,127699,243617,223099,284124,192936,91236,13577,38456,22727,74758,69192,27803,203232,12858,272579,274180,43145,1507802,100.0,101.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,84121,36697,24002,14750,7433,7317,48746,23609,25137,56273,33863,22410,46782,9491,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,0,44514,9400,13749,11437,11140,7871,5118,713,190,2775,6453,857,923,12885,611,12925,16468,2660,84074,100.0,82.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,174550,133122,122659,62686,59973,16822,8493,8329,269084,148829,120255,193876,75208,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,167995,20709,188704,48384,77363,61854,58122,39081,23168,2377,2450,8479,21750,6979,2271,68134,3454,66910,79454,9049,437161,100.0,94.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,393669,330078,293739,147250,146489,12787,6345,6442,572671,297464,275207,284154,288517,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,431129,31696,462825,100052,159043,132147,180188,128549,54139,9350,10927,15958,53382,26366,21431,119439,8055,157314,172205,31335,998586,100.0,101.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,814010,342846,269796,215777,110828,104949,8755,4554,4201,430926,258628,172298,311770,119156,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035,108888,172754,9177,24127,279269,95896,375165,69967,113536,113305,141490,95341,80414,9748,2813,23107,70807,8186,6859,125896,10363,131450,161675,28920,812975,100.0,92.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,529855,205617,157028,160745,83017,77728,11262,5912,5350,280083,169399,110684,193906,86177,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,765,28904,91509,2220,8593,171102,21054,192156,57853,100123,78103,67080,38282,23352,4048,16691,7459,26363,17523,5229,62390,3852,58902,75406,7787,529090,100.0,92.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,580320,244372,184206,164536,85482,79054,25645,13351,12294,298737,190001,108736,219235,79502,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,410,53722,119866,5250,14478,192787,51509,244296,50331,89407,83992,95232,59363,36803,8280,12426,15117,38632,25275,10150,76524,7887,94692,108699,22025,579910,100.0,88.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,521173,213281,186434,115491,58601,56890,8601,4445,4156,215346,141612,73734,134482,80864,305827,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,225,43809,105929,2412,8238,185091,20126,205217,51838,87913,81256,105204,60626,32120,5511,41378,8059,19820,36913,7736,70217,5342,88894,90729,12776,520948,100.0,98.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,138620,80463,53408,27209,26199,39216,20377,18839,151912,101144,50768,79377,72535,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,122267,11350,133617,43794,47350,62719,48359,31416,12647,1846,563,1804,24106,1550,1265,44395,497,19244,47031,1371,409214,100.0,92.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,641916,495219,377991,197610,180381,69193,36323,32870,508622,417456,91166,410344,98278,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,254566,248043,502609,135391,185962,253542,261852,159257,146501,30616,68272,44063,76236,113156,20542,179925,32191,240478,241206,40739,1525883,100.0,88.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,56301,29935,18,12,6,122336,62652,59684,51873,39839,12034,28941,22932,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,289,3285,15824,235,1005,40370,7774,48144,12732,19083,20874,16938,9826,3077,408,488,1847,10895,652,899,7733,249,8008,10562,1930,140513,100.0,81.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,228499,160705,141224,74644,66580,53307,27693,25614,200431,161548,38883,142847,57584,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,717,32772,109422,1443,6112,181374,33473,214847,69396,82715,106411,91522,47694,24330,4504,17726,4687,26172,23014,3065,78220,2732,66944,88964,7679,615718,100.0,89.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,178326,115632,402,397,5,22607,11837,10770,188420,138428,49992,98306,90114,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,833,16828,73629,1537,5293,147520,21703,169223,36201,54808,73991,67368,40931,31286,5897,5479,6164,51973,4551,1770,57529,1478,45967,65162,5863,559607,100.0,91.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,163333,98391,556,406,150,176101,90274,85827,161393,117677,43716,73247,88146,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,711,13160,62900,346,3342,132139,15269,147408,55762,72024,69219,46062,29517,13962,1884,846,1731,37412,2407,1908,31773,276,16022,36358,2677,476124,100.0,89.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,431746,316838,1068,995,73,8935,5021,3914,407188,333151,74037,330547,76641,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,1653,138119,165403,16413,33831,4518,257721,262239,88911,173309,178723,176409,132727,121856,32114,44501,34586,129337,39804,12717,120553,22024,152945,157875,24605,1235176,100.0,90.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,197543,124811,138569,72093,66476,56309,29142,27167,243672,163845,79827,152442,91230,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,148664,34696,183360,58567,80129,86008,55024,29657,17345,4030,3948,3800,30146,8953,1459,56859,2075,37323,64858,6540,554593,100.0,87.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,2062330,759088,514432,299227,154297,144930,255626,129233,126393,685368,507677,177691,380304,305064,1376962,137521,126406,21671,399770,1636460,241451,13730,4174,1890,2045,160524,2056,67157,274726,9754,37997,250312,258452,508764,242467,338861,342646,232434,154076,116396,21157,247231,21098,53133,108998,10961,215478,22508,179570,239204,12765,2060274,100.0,92.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,1042886,303902,206159,340553,172668,167885,45563,23141,22422,397690,251213,146477,195502,202188,645196,119297,188513,14210,75670,903179,116710,6565,888,35,129,12936,2444,5307,27037,590,9115,200974,14528,215502,200861,161729,102033,63670,35342,21697,2046,90400,2110,43535,15107,2320,78668,852,17627,82823,1835,1040442,0.0,95.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,1492073,489837,303701,190036,98295,91741,180962,91012,89950,551467,383691,167776,297146,254321,940606,128656,209693,39361,173757,1165140,302626,6027,143,188,282,16067,1600,26760,130193,1944,13550,257373,64337,321710,217460,266292,190171,96331,54419,43979,6699,174959,3714,32959,32553,3976,119254,3384,64890,126305,3075,1490473,100.0,93.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,2684487,1014950,707254,437309,226362,210947,233119,117256,115863,844504,658851,185653,546714,297790,1839983,97118,103488,25889,618009,2149480,431762,11243,9727,331,1268,77182,3494,83995,427173,11568,46646,258764,405455,664219,317918,501453,449506,305054,186697,107382,14615,283681,18631,47744,131398,13811,303871,23334,290580,328776,11094,2680993,100.0,91.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,1321442,406275,266134,79614,40802,38812,571077,282125,288952,624779,367108,257671,237479,387300,696663,193402,303084,23106,105187,1044726,106865,86404,234,267,162,78622,4162,11836,62110,1193,10396,303697,23281,326978,229157,229259,149009,69525,38383,25593,2697,175375,2912,36546,23058,3086,70067,1785,32443,75323,2170,1317280,100.0,98.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,1322784,405161,248315,319946,165313,154633,205874,104499,101375,571431,335451,235980,175126,396305,751353,113561,328673,14487,114710,1104475,194680,17168,123,371,20,4591,1356,6798,29373,565,8881,272872,19180,292052,207665,195565,147446,87844,46882,28144,2830,108161,2671,47454,16578,2218,96766,934,21864,100748,1764,1321428,0.0,94.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,2445474,783736,469739,325493,166447,159046,238188,120646,117542,1036277,623946,412331,412912,623365,1409197,369913,362610,32544,271210,1856202,508586,14645,937,650,1503,59218,3733,16909,125431,1944,19976,452564,46886,499450,503261,443980,261309,146464,77540,55122,8449,226550,6290,77769,57582,6569,231728,3341,63911,242670,4373,2441741,100.0,94.0
Jharkhand,Godda,24.8189,87.2941735483871,1313551,376212,228307,115567,59835,55732,279208,138510,140698,552191,344019,208172,235735,316456,761360,144603,307767,18719,81102,937126,289182,37795,97,128,115,47067,2041,7421,43230,874,11925,276454,15576,292030,217607,190777,126766,79430,47395,30870,4002,133332,1754,48401,19859,2481,84687,1458,25764,89533,2365,1311510,0.0,94.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,1025213,321795,237925,32459,16446,16013,706754,352514,354240,487508,264774,222734,278931,208577,537705,321272,97918,12771,55547,309563,51429,202449,221,531,23,457468,3529,9108,31687,831,7807,216629,16445,233074,136719,242580,182260,82114,45613,23742,2913,130700,2181,36472,16146,2529,51241,1114,18701,55186,1416,1021684,100.0,99.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,791042,258260,168052,72885,37212,35673,240489,120035,120454,326631,214740,111891,122434,204197,464411,106008,135667,11547,73409,550560,164406,4419,520,118,783,68564,1672,5564,49419,808,4959,165555,20113,185668,131150,132014,85745,40613,22995,14802,1578,116861,1632,21154,16906,2377,52099,1057,31194,55601,1125,789370,100.0,95.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,726978,209706,140976,154910,78266,76644,331096,166427,164669,313379,180106,133273,117311,196068,413599,103693,142729,9205,57752,473049,69808,47653,120,128,16,133525,2679,2177,38194,340,6240,146377,14137,160514,109491,121529,88787,46142,23885,13956,1017,63127,1268,28620,8012,1000,37343,440,10697,39512,1169,724299,0.0,97.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,461790,149568,110139,15330,7862,7468,262734,130814,131920,221332,121605,99727,103001,118331,240458,99780,80840,4449,36263,112378,95012,16770,51,33,15,235987,1544,8016,28769,351,2954,96759,14725,111484,82873,84920,63545,38503,21987,13847,976,66235,1102,18498,10065,946,31101,677,12504,32713,666,460246,100.0,99.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,900422,206989,145892,28469,14352,14117,379054,186967,192087,404584,234012,170572,252017,152567,495838,105334,150028,19471,129751,410127,322963,75865,356,283,222,88760,1846,5316,31414,328,4535,200588,16587,217175,100367,133770,79045,29934,15700,9822,1525,102037,923,24266,9725,1156,37087,605,16500,39592,1349,898576,0.0,99.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,1939869,621706,402857,536382,277119,259263,181208,92577,88631,713175,473042,240133,283702,429473,1226694,133585,380976,19911,178703,1683169,238295,6164,734,188,284,5681,5354,17270,68238,2155,19981,355529,52375,407904,303053,296937,231565,160964,100290,63595,7117,159105,8015,75238,29434,7230,155997,2931,51012,167482,4255,1934515,100.0,93.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,2914253,1085244,826189,152943,78613,74330,1042016,520582,521434,1142867,743967,398900,756176,386691,1771386,317487,267360,38452,519568,1612239,410759,193974,4826,932,2733,677445,11345,164237,350908,22538,76565,420740,310242,730982,361522,547583,495515,370847,247237,195181,28424,344888,34053,137964,141089,19068,293292,43660,247137,334055,21695,2902908,100.0,95.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,1150567,287303,195960,72341,37317,35024,308343,153435,154908,490202,295690,194512,322572,167630,660365,109975,206902,43179,130146,628044,398243,83208,198,245,125,38426,2078,11545,34879,591,9563,223450,37543,260993,146399,171416,110822,52248,28087,19832,2593,95511,1285,45998,10359,1611,60592,808,24604,64808,2605,1148489,0.0,95.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,599578,191991,151492,44674,22150,22524,424407,211546,212861,288645,159867,128778,155510,133135,310933,158019,90232,8011,32383,201524,15103,306601,51,753,114,73930,1502,3472,16865,423,4649,144169,11114,155283,82317,130068,97580,47836,24842,13674,1197,86022,1158,17801,9742,1190,25218,476,7606,27504,1096,598076,100.0,100.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,1889752,641388,472024,319149,158135,161014,97203,48470,48733,818081,511575,306506,676407,141674,1071671,196199,303243,44797,273842,1634229,219991,3433,443,412,25198,166,5880,49345,301389,3745,26297,324799,165858,490657,242336,385986,147397,171505,115095,82319,25791,153879,9726,37022,69279,14552,205045,7247,161280,234284,14687,1883872,100.0,99.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,990923,385311,303438,213700,107424,106276,52903,27147,25756,459891,315499,144392,389989,69902,531032,127770,84108,19457,228556,890429,92252,5368,389,272,1045,85,1083,77454,214253,3729,17066,231052,95410,326462,100770,168165,126285,166677,82235,51015,10741,93908,10389,62715,69005,10920,146993,7181,156967,165588,7675,989840,100.0,95.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,4779661,1725548,1326484,577418,289096,288322,297198,148673,148525,2105668,1372422,733246,1734501,371167,2673993,711980,649517,60342,683829,4038331,528412,18418,2037,1086,178310,149,12918,240742,808827,17560,73497,962777,356198,1318975,544564,1057297,609600,532584,279583,201884,56621,519937,35104,152541,228887,48042,543121,31642,468274,641485,50322,4766743,100.0,97.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,2452595,813440,608181,517409,258582,258827,451406,225451,225955,1116880,703258,413622,969388,147492,1335715,258080,406092,22832,429876,2103633,320834,14014,1029,284,8044,54,4703,114040,440374,9626,40190,371604,251876,623480,275785,529576,219702,203139,121453,89475,29367,164714,14163,40985,111250,20960,288487,17678,291101,327050,17603,2447892,100.0,98.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,1703300,597198,445475,399785,204280,195505,235822,119787,116035,702608,459050,243558,551763,150845,1000692,141302,280091,18095,263120,1289709,335184,35438,1145,30453,680,521,10170,34924,271439,3971,36072,287134,102269,389403,188998,474921,194233,181076,105347,54900,12885,102869,9724,21485,44813,28962,141567,6751,116314,187983,17454,1693130,100.0,96.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,255230,54076,32843,10122,5145,4977,204189,101519,102670,134525,71591,62934,69338,65187,120705,66504,49859,1399,16763,245151,1617,2709,68,1649,15,3793,228,1022,12516,117,1462,50449,7942,58391,25597,22787,14170,7192,6755,3421,147,16830,305,6766,2625,513,4019,156,4215,5033,501,255002,0.0,98.0
